Title,year,Rating,Run Time,imdb_rating,Budget,Gross_worldwide,Director,Metascore
On the Waterfront,1954,Approved,1h 48m,8.1,"$910,000 (estimated)",null,Elia Kazan,91
My Father and My Son,2005,Not Rated,1h 52m,8.2,null,"$18,612,999",Cagan Irmak,null
Avengers: Endgame,2019,PG-13,3h 1m,8.4,"$356,000,000 (estimated)","$2,797,501,328",Anthony Russo,78
1917,2019,R,1h 59m,8.2,"$95,000,000 (estimated)","$384,919,389",Sam Mendes,78
Snatch,2000,R,1h 42m,8.3,"£6,000,000 (estimated)","$83,557,872",Guy Ritchie,55
Star Wars: Episode V - The Empire Strikes Back,1980,PG,2h 4m,8.7,"$18,000,000 (estimated)","$538,375,067",Irvin Kershner,82
The Gold Rush,1925,Passed,1h 35m,8.2,"$923,000 (estimated)","$26,975",Charles Chaplin,null
Life Is Beautiful,1997,PG-13,1h 56m,8.6,"$20,000,000 (estimated)","$230,098,753",Roberto Benigni,59
The Shawshank Redemption,1994,R,2h 22m,9.3,"$25,000,000 (estimated)","$28,884,504",Frank Darabont,81
Gone Girl,2014,R,2h 29m,8.1,"$61,000,000 (estimated)","$369,330,363",David Fincher,79
Once Upon a Time in the West,1968,PG-13,2h 45m,8.5,"$5,000,000 (estimated)","$5,434,825",Sergio Leone,80
Jurassic Park,1993,PG-13,2h 7m,8.2,"$63,000,000 (estimated)","$1,099,428,303",Steven Spielberg,68
Star Wars,1977,PG,2h 1m,8.6,"$11,000,000 (estimated)","$775,398,007",George Lucas,90
Beauty and the Beast,1991,G,1h 24m,8,"$25,000,000 (estimated)","$424,967,620",Gary Trousdale,95
Sunset Blvd.,1950,Passed,1h 50m,8.4,"$1,752,000 (estimated)","$300,073",Billy Wilder,null
Ran,1985,R,2h 42m,8.2,"$11,500,000 (estimated)","$4,164,283",Akira Kurosawa,96
Stand by Me,1986,R,1h 29m,8.1,"$8,000,000 (estimated)","$52,287,414",Rob Reiner,75
The Hunt,2012,R,1h 55m,8.3,"$3,800,000 (estimated)","$15,843,274",Thomas Vinterberg,77
